"Scenario","pMIC","probability_zero_annual_risk","mean_consumption_days","outcome","log10_mean_annual_risk","log10_p025_positive_annual_risk","log10_p125_positive_annual_risk","log10_p25_positive_annual_risk","log10_median_positive_annual_risk","log10_p75_positive_annual_risk","log10_p875_positive_annual_risk","log10_p975_positive_annual_risk"
"Raw shrimp consumption",0,0.17891,13.47958,"More likely treatable",-3.88602891136674,-5.84695062643849,-5.16721043458316,-4.77332440109777,-4.26983508386935,-3.82165179537574,-3.53606863491586,-3.05889529194138
"Raw shrimp consumption",0.1,0.17891,13.47958,"More likely treatable",-3.90016288093918,-5.85749988847802,-5.18135313588755,-4.78749612578421,-4.28293834546144,-3.83538858301275,-3.55022167561611,-3.0742321761217
"Raw shrimp consumption",0.2,0.17891,13.47958,"More likely treatable",-3.92103483337184,-5.88112158385869,-5.20440831681366,-4.80832414390151,-4.3035276943609,-3.85542414070436,-3.57027688695208,-3.09489237424915
"Raw shrimp consumption",0.3,0.17891,13.47958,"More likely treatable",-3.94150956272074,-5.89779127111183,-5.22483333348456,-4.82863301301809,-4.32382239220276,-3.87576873852914,-3.59059227660768,-3.11473020783133
"Raw shrimp consumption",0.4,0.17891,13.47958,"More likely treatable",-3.96155827196608,-5.91994215053392,-5.2452923049188,-4.84982523244214,-4.34346025922927,-3.89589409546314,-3.610062813988,-3.13401339703989
"Raw shrimp consumption",0.5,0.17891,13.47958,"More likely treatable",-3.98116602696312,-5.94054109407185,-5.26464920426268,-4.86925460837889,-4.36281442177246,-3.91553456542635,-3.6295185842554,-3.15392025917613
"Raw shrimp consumption",0.6,0.17891,13.47958,"More likely treatable",-4.00031624477745,-5.95836077488075,-5.28408482476103,-4.88876379857876,-4.38150058497212,-3.93382987374756,-3.64905294684288,-3.17267031747075
"Raw shrimp consumption",0.7,0.17891,13.47958,"More likely treatable",-4.01903003284685,-5.97965820180354,-5.30253571013912,-4.90831971477184,-4.3999617178251,-3.95261317197217,-3.66802272938453,-3.19074755944739
"Raw shrimp consumption",0.8,0.17891,13.47958,"More likely treatable",-4.03731691702967,-6.00168915282935,-5.32202111716137,-4.92601468248367,-4.41887025573229,-3.9719180240511,-3.6865906231318,-3.20869659275951
"Raw shrimp consumption",0.9,0.17891,13.47958,"More likely treatable",-4.05518082590799,-6.02226736535036,-5.34015629991756,-4.9445604662846,-4.43686598491752,-3.98991428560964,-3.70432556158965,-3.22509410420845
"Raw shrimp consumption",1,0.17891,13.47958,"More likely treatable",-4.07261858551153,-6.04193203778144,-5.35795645086886,-4.96239577551501,-4.45452738793469,-4.00678423440438,-3.72188704062603,-3.24250218865956
"Raw shrimp consumption",1.1,0.17891,13.47958,"More likely treatable",-4.08963415342051,-6.05865603880533,-5.37452107837708,-4.9797086382708,-4.47173698422723,-4.02355996624579,-3.7386921569138,-3.25935983554515
"Raw shrimp consumption",1.2,0.17891,13.47958,"More likely treatable",-4.10622257228022,-6.07525267759379,-5.39160250964741,-4.99656745455167,-4.48820061265975,-4.04028270443177,-3.75541723377155,-3.27595978257551
"Raw shrimp consumption",1.3,0.17891,13.47958,"More likely treatable",-4.12241498507878,-6.09129856510468,-5.40826442919653,-5.01345453046008,-4.50465872648495,-4.05638501501589,-3.77172524692321,-3.29081229281457
"Raw shrimp consumption",1.4,0.17891,13.47958,"More likely treatable",-4.13818505462867,-6.10858367506246,-5.42435185201451,-5.02915495027054,-4.52061482737461,-4.07265553463186,-3.78807638231571,-3.30695385899888
"Raw shrimp consumption",1.5,0.17891,13.47958,"More likely treatable",-4.15355977025611,-6.12461834464524,-5.44080499011077,-5.04490639728785,-4.53635990390134,-4.08824211340463,-3.80365408464497,-3.32170366126909
"Raw shrimp consumption",1.6,0.17891,13.47958,"More likely treatable",-4.16851622763071,-6.14056771191274,-5.45616600980144,-5.06042282238478,-4.55193867960368,-4.10360922359572,-3.81874140595637,-3.33631583146134
"Raw shrimp consumption",1.7,0.17891,13.47958,"More likely treatable",-4.18307929668619,-6.15562537458796,-5.47035575345983,-5.07555664059109,-4.56657617451628,-4.11858712390367,-3.8337233286418,-3.35068094370465
"Raw shrimp consumption",1.8,0.17891,13.47958,"More likely treatable",-4.19724682633184,-6.1689606971919,-5.48387251012494,-5.09009203754158,-4.58066116391657,-4.13292111724446,-3.8478981305389,-3.36495994535763
"Raw shrimp consumption",1.9,0.17891,13.47958,"More likely treatable",-4.21101994840442,-6.1843232455964,-5.49728578318699,-5.10424611852341,-4.59435848831554,-4.14662929799754,-3.86162338432976,-3.37852875173108
"Raw shrimp consumption",2,0.17891,13.47958,"More likely treatable",-4.2244037045703,-6.19769027879113,-5.51140231929252,-5.11801854462616,-4.60773000211413,-4.16014915777404,-3.87493918567836,-3.39172205442379
"Raw shrimp consumption",2.1,0.17891,13.47958,"More likely treatable",-4.23739812431337,-6.21057452037231,-5.52499316388442,-5.13122670587115,-4.62114731155503,-4.17319614936916,-3.88778239889529,-3.40525222529256
"Raw shrimp consumption",2.2,0.17891,13.47958,"More likely treatable",-4.25001589255894,-6.22405422868907,-5.53818855295661,-5.14367286340263,-4.63385476428949,-4.18609843280604,-3.90051591726056,-3.41746760979576
"Raw shrimp consumption",2.3,0.17891,13.47958,"More likely treatable",-4.26224447877947,-6.23667445800884,-5.55063103500092,-5.15589973505415,-4.64645196859991,-4.1985949629978,-3.91265066111007,-3.42924861976981
"Raw shrimp consumption",2.4,0.17891,13.47958,"More likely treatable",-4.27410456472217,-6.24799486255359,-5.56242600494408,-5.16812038355699,-4.65805995972525,-4.21067945465041,-3.92455317681424,-3.44104878113752
"Raw shrimp consumption",2.5,0.17891,13.47958,"Less likely treatable",-4.28560838989778,-6.25870998773946,-5.57439584013669,-5.17980605281792,-4.66970284838959,-4.22214302618719,-3.93574187786612,-3.45303564649983
