"Scenario","fr","probability_zero_annual_risk","mean_consumption_days","outcome","log10_mean_annual_risk","log10_p025_positive_annual_risk","log10_p125_positive_annual_risk","log10_p25_positive_annual_risk","log10_median_positive_annual_risk","log10_p75_positive_annual_risk","log10_p875_positive_annual_risk","log10_p975_positive_annual_risk"
"Raw shrimp consumption",0,0.17891,13.47958,"More likely treatable",-4.3797604988278,-6.34122257677536,-5.66148092807167,-5.26759217459581,-4.7640955570102,-4.31588460554868,-4.03027938208429,-3.55293244162249
"Raw shrimp consumption",0.05,0.17891,13.47958,"More likely treatable",-4.33596499334308,-6.29745082253725,-5.61770910549881,-5.22382022435871,-4.72032357559041,-4.27211115856967,-3.98650675367012,-3.5091498081074
"Raw shrimp consumption",0.1,0.17891,13.47958,"More likely treatable",-4.29619699869687,-6.2576896204408,-5.57794788178505,-5.18405896024873,-4.68056241138093,-4.23234947198697,-3.94674597924019,-3.46938521362423
"Raw shrimp consumption",0.15,0.17891,13.47958,"More likely treatable",-4.25977874929167,-6.22126533473019,-5.54152360984396,-5.14763471408036,-4.64413836455,-4.19592561833047,-3.91032310873181,-3.43296321434933
"Raw shrimp consumption",0.2,0.17891,13.47958,"More likely treatable",-4.22619036106637,-6.18766097976764,-5.50791929626009,-5.11403047764829,-4.61053440470753,-4.16232240732237,-3.8767209359938,-3.39936555545849
"Raw shrimp consumption",0.25,0.17891,13.47958,"Less likely treatable",-4.19502430847264,-6.15647112444873,-5.47672950400126,-5.08284080325604,-4.57934506808088,-4.13113425967892,-3.8455338702747,-3.3681858883312
"Raw shrimp consumption",0.3,0.17891,13.47958,"Less likely treatable",-4.16595521140725,-6.12737193928869,-5.44763039958302,-5.053741849482,-4.55024650134749,-4.10203723646174,-3.81643796414326,-3.33909970420056
"Raw shrimp consumption",0.35,0.17891,13.47958,"Less likely treatable",-4.13871914089928,-6.10010066833161,-5.42035922360018,-5.02647085094083,-4.52297593014225,-4.0747684985912,-3.78917037208899,-3.31184373293041
"Raw shrimp consumption",0.4,0.17891,13.47958,"Less likely treatable",-4.11309905718011,-6.07444117496252,-5.39469983717132,-5.00081166418243,-4.49731720405006,-4.04911184574218,-3.7635148888403,-3.28620144209916
"Raw shrimp consumption",0.45,0.17891,13.47958,"Less likely treatable",-4.08891432094892,-6.05021352694426,-5.3704723061179,-4.97658435135543,-4.47309037982068,-4.0248872956125,-3.73929152821317,-3.26199258940032
"Raw shrimp consumption",0.5,0.17891,13.47958,"Less likely treatable",-4.06601298276485,-6.02726633634584,-5.34752524071987,-4.95363751988785,-4.45014406055951,-4.00194342028392,-3.71634885921264,-3.23906554045587
"Undercooked shrimp consumption",0,0.17891,13.47958,"More likely treatable",-5.6750950853886,-8.20068178069597,-7.37852761821813,-6.89450235052573,-6.28887551342592,-5.74464416996255,-5.39591860579168,-4.8201399680474
"Undercooked shrimp consumption",0.05,0.17891,13.47958,"More likely treatable",-5.63131989260972,-8.1569100433651,-7.33475587993314,-6.85073060978267,-6.24510375675834,-5.70087237910444,-5.35214671487475,-4.77636771033722
"Undercooked shrimp consumption",0.1,0.17891,13.47958,"More likely treatable",-5.59155763331092,-8.11714884164233,-7.29499468279441,-6.81096941122499,-6.20534255402396,-5.66111116966846,-5.31238547068889,-4.73660636852332
"Undercooked shrimp consumption",0.15,0.17891,13.47958,"More likely treatable",-5.55513409635099,-8.08072455994832,-7.25857039537663,-6.77454512286208,-6.16891826882005,-5.62468689859722,-5.27596121454978,-4.700182218977
"Undercooked shrimp consumption",0.2,0.17891,13.47958,"More likely treatable",-5.52153189227887,-8.04712019152095,-7.22496603121402,-6.74094076028499,-6.13531391523289,-5.59108257573685,-5.24235694494049,-4.66657821454347
"Undercooked shrimp consumption",0.25,0.17891,13.47958,"Less likely treatable",-5.49034529785926,-8.01593031873471,-7.19377615984761,-6.70975089326193,-6.10412406200229,-5.55989276591344,-5.21116721900469,-4.63538887939596
"Undercooked shrimp consumption",0.3,0.17891,13.47958,"Less likely treatable",-5.46125026752767,-7.9868311149157,-7.16467695469453,-6.68065169234037,-6.0750248796092,-5.53079363741265,-5.18206819885516,-4.60629035123115
