"Scenario","pMIC","outcome","log10_median_annual_risk","log10_p025_annual_risk","log10_p125_annual_risk","log10_p25_annual_risk","log10_p75_annual_risk","log10_p875_annual_risk","log10_p975_annual_risk"
"Raw shrimp consumption",0,"More likely treatable",-4.26983508386935,-5.84695062643849,-5.16721043458316,-4.77332440109777,-3.82165179537574,-3.53606863491586,-3.05889529194138
"Raw shrimp consumption",0.1,"More likely treatable",-4.2920000321997,-5.86911657505514,-5.18937624833383,-4.7954899630515,-3.84381418368796,-3.55822931707526,-3.08103953970206
"Raw shrimp consumption",0.2,"More likely treatable",-4.31251157378536,-5.88962905623075,-5.20988860041875,-4.81600207410408,-3.86432322958044,-3.57873687192559,-3.10153125521335
"Raw shrimp consumption",0.3,"More likely treatable",-4.33254077997647,-5.90965913829339,-5.22991856214148,-4.83603181112902,-3.88435010906315,-3.59876236173154,-3.12154197715196
"Raw shrimp consumption",0.4,"More likely treatable",-4.35201454984148,-5.92913370554427,-5.24939302046858,-4.85550606607073,-3.90382177544549,-3.61823274280257,-3.14099901833067
"Raw shrimp consumption",0.5,"More likely treatable",-4.37132280190233,-5.94844271713352,-5.26870192817163,-4.87481477979079,-3.92312802069585,-3.63753776808942,-3.16029131363131
"Raw shrimp consumption",0.6,"More likely treatable",-4.39016195424526,-5.9672825705907,-5.28754168604207,-4.89365435919725,-3.94196532801563,-3.6563739390918,-3.17911578641696
"Raw shrimp consumption",0.7,"More likely treatable",-4.40844269535879,-5.98556395551471,-5.30582298350735,-4.91193549339132,-3.9602443824052,-3.67465193981765,-3.1973830981993
"Raw shrimp consumption",0.8,"More likely treatable",-4.42642290014803,-6.00354476877346,-5.32380371405958,-4.929916069556,-3.97822299194965,-3.69262955498357,-3.21535060289075
"Raw shrimp consumption",0.9,"More likely treatable",-4.44407503142841,-6.02119746444275,-5.34145633343518,-4.94756854636833,-3.99587365174865,-3.7102792809283,-3.23299100920867
"Raw shrimp consumption",1,"More likely treatable",-4.4613235351879,-6.03844649766844,-5.35870529504161,-4.96481737429755,-4.0131207755285,-3.72752552826267,-3.25022851640015
"Raw shrimp consumption",1.1,"More likely treatable",-4.47784917266349,-6.05497261667264,-5.37523134918114,-4.9813433073353,-4.02964516405147,-3.74404911135403,-3.26674419398649
"Raw shrimp consumption",1.2,"More likely treatable",-4.49425101166848,-6.0713749115329,-5.3916335828172,-4.99774542666147,-4.04604582484055,-3.76044900399328,-3.2831366320285
"Raw shrimp consumption",1.3,"More likely treatable",-4.51015134771822,-6.08727567033577,-5.40753428497557,-5.01364602304658,-4.0619450711648,-3.77634753390695,-3.29902826946428
"Raw shrimp consumption",1.4,"More likely treatable",-4.52545641814969,-6.1025811306637,-5.4228396931706,-5.02895133389533,-4.07724913913784,-3.79165093756198,-3.31432533463222
"Raw shrimp consumption",1.5,"More likely treatable",-4.54084301810822,-6.11796810494696,-5.43822661754454,-5.04433816515481,-4.09263478079734,-3.80703593598562,-3.32970427697045
"Raw shrimp consumption",1.6,"More likely treatable",-4.55538533678699,-6.13251076177219,-5.45276922951215,-5.0588806932644,-4.10717623715576,-3.82157680626027,-3.34423970056888
"Raw shrimp consumption",1.7,"More likely treatable",-4.56971000533603,-6.1468357483276,-5.46709417402097,-5.0732055592716,-4.12150009911627,-3.83590011127018,-3.35855791443385
"Raw shrimp consumption",1.8,"More likely treatable",-4.58362036486132,-6.16074640449797,-5.48100479108234,-5.08711610327291,-4.13540970860179,-3.84980919802278,-3.37246226882055
"Raw shrimp consumption",1.9,"More likely treatable",-4.59737893074995,-6.17450524942268,-5.49476359941931,-5.10087484335014,-4.14916757439165,-3.8635665648275,-3.38621522277891
"Raw shrimp consumption",2,"More likely treatable",-4.61053440470753,-6.18766097976764,-5.50791929626009,-5.11403047764829,-4.16232240732237,-3.8767209359938,-3.39936555545849
"Raw shrimp consumption",2.1,"More likely treatable",-4.62333147908863,-6.20045829429933,-5.52071657952093,-5.12682770248959,-4.17511888321945,-3.88951697659448,-3.41215782719347
"Raw shrimp consumption",2.2,"More likely treatable",-4.63564570369217,-6.21277273961612,-5.53303099623871,-5.13914206584216,-4.18743256206028,-3.9018302498629,-3.42446766710259
"Raw shrimp consumption",2.3,"More likely treatable",-4.6477117619842,-6.22483900580973,-5.54509723566623,-5.15120825518469,-4.19949810854801,-3.91389541075939,-3.43652961036628
"Raw shrimp consumption",2.4,"More likely treatable",-4.65949798977635,-6.23662542828096,-5.55688363311473,-5.16299460604666,-4.21128386056255,-3.92568079738021,-3.44831200863684
"Raw shrimp consumption",2.5,"Less likely treatable",-4.67071313911249,-6.24784075481685,-5.56809893711699,-5.17420986787047,-4.22249858024128,-3.93689517957164,-3.45952369526391
"Raw shrimp consumption",2.6,"Less likely treatable",-4.68178759174669,-6.25891537611252,-5.57917353691794,-5.18528442777268,-4.23357262642465,-3.94796890164705,-3.47059486929472
"Raw shrimp consumption",2.7,"Less likely treatable",-4.69243921238984,-6.2695671513609,-5.58982529280412,-5.19593614733313,-4.24422387820149,-3.95861985061821,-3.48124350932733
"Raw shrimp consumption",2.8,"Less likely treatable",-4.70277414590908,-6.27990222984306,-5.60016035310084,-5.20627117377522,-4.25455846776692,-3.96895415393683,-3.49157566127852
"Raw shrimp consumption",2.9,"Less likely treatable",-4.71275750026325,-6.28988571890316,-5.61014382540671,-5.21625461479771,-4.26454150487684,-3.97893692165225,-3.50155644688234
"Raw shrimp consumption",3,"Less likely treatable",-4.72240099640064,-6.29952933976135,-5.61978743090127,-5.22589819156313,-4.27418471018001,-3.98857987341687,-3.51119758420986
"Raw shrimp consumption",3.1,"Less likely treatable",-4.73160064828072,-6.30872910494942,-5.62898718235357,-5.23509791718361,-4.28338410158277,-3.9977790292343,-3.5203951184312
"Raw shrimp consumption",3.2,"Less likely treatable",-4.74076235107719,-6.31789091753075,-5.63814898161594,-5.24425969152198,-4.29254555289251,-4.00694025108774,-3.52955477558975
"Raw shrimp consumption",3.3,"Less likely treatable",-4.74933066838302,-6.32645933335737,-5.64671738554358,-5.25282807330792,-4.30111364764059,-4.01550813635683,-3.53812127863863
"Raw shrimp consumption",3.4,"Less likely treatable",-4.75765321830038,-6.33478197448968,-5.6550400158651,-5.26115068339783,-4.30943599451995,-4.02383028457445,-3.54644216898022
"Raw shrimp consumption",3.5,"Less likely treatable",-4.76599238110608,-6.34312122599331,-5.66337925679812,-5.26948990479528,-4.31777496153982,-4.03216905669609,-3.55477972963288
"Raw shrimp consumption",3.6,"Less likely treatable",-4.77382451291263,-6.3509534378645,-5.67121145933882,-5.27732208984215,-4.325606918656,-4.0400008347132,-3.56261042869253
"Raw shrimp consumption",3.7,"Less likely treatable",-4.78143283155681,-6.35856183055146,-5.6788198435503,-5.28493045816674,-4.33321507867639,-4.04760882462502,-3.57021744205994
"Raw shrimp consumption",3.8,"Less likely treatable",-4.7887647148821,-6.3658937831349,-5.68615178822306,-5.29226238804149,-4.34054681525748,-4.05494040041719,-3.57754811581123
"Raw shrimp consumption",3.9,"Less likely treatable",-4.79566251277851,-6.37279164355781,-5.69304964165907,-5.29916022827326,-4.34744448277815,-4.06183791967072,-3.58444483589858
"Raw shrimp consumption",4,"Less likely treatable",-4.80242942965878,-6.3795586195562,-5.69981661105678,-5.30592718542,-4.35421127830241,-4.06860457245912,-3.59121074665197
"Raw shrimp consumption",4.1,"Less likely treatable",-4.80905048487583,-6.3861797303685,-5.70643771568689,-5.3125482786858,-4.3608322218377,-4.07522537899245,-3.59783087272781
"Raw shrimp consumption",4.2,"Less likely treatable",-4.81525807301226,-6.3923873687728,-5.7126453486855,-5.31875590150194,-4.36703971026468,-4.08143274120054,-3.604037628937
"Raw shrimp consumption",4.3,"Less likely treatable",-4.82141676688008,-6.39854611051161,-5.71880408530302,-5.32491462861553,-4.3731983114289,-4.08759121938683,-3.61019554605189
"Raw shrimp consumption",4.4,"Less likely treatable",-4.82709230347804,-6.40422168973171,-5.72447966004901,-5.33059019498675,-4.37887376697931,-4.09326656346293,-3.61587040123379
"Raw shrimp consumption",4.5,"Less likely treatable",-4.83285798273047,-6.40998741047103,-5.73024537658652,-5.33635590354534,-4.38463936890632,-4.09903205401748,-3.62163542740101
"Raw shrimp consumption",4.6,"Less likely treatable",-4.83819740965588,-6.41532687434963,-5.73558483663799,-5.34169535668843,-4.38997872931245,-4.10437131300825,-3.6269742891923
"Raw shrimp consumption",4.7,"Less likely treatable",-4.84334705909378,-6.42047655817246,-5.74073451711454,-5.34684503077462,-4.39512831776885,-4.10952080506711,-3.63212341851603
"Raw shrimp consumption",4.8,"Less likely treatable",-4.84831781814566,-6.42544734923678,-5.74570530503197,-5.35181581289505,-4.40009902177699,-4.114491417416,-3.6370937054042
"Raw shrimp consumption",4.9,"Less likely treatable",-4.8532094923701,-6.43033905374373,-5.75059700675885,-5.35670750921333,-4.40499064505691,-4.11938295177281,-3.64198494019786
"Raw shrimp consumption",5,"Less likely treatable",-4.85783229227133,-6.43496188096967,-5.75521983144475,-5.36133032921871,-4.40961340125177,-4.12400562523741,-3.64660735934159
"Raw shrimp consumption",5.1,"Less likely treatable",-4.86222845094192,-6.43935806515022,-5.75961601319322,-5.36572650664985,-4.41400951993711,-4.12840166617297,-3.65100316839358
"Raw shrimp consumption",5.2,"Less likely treatable",-4.86658330730794,-6.44371294548956,-5.763970891531,-5.37008138102813,-4.41836433982896,-4.13275641008923,-3.65535770291896
"Raw shrimp consumption",5.3,"Less likely treatable",-4.87063980084346,-6.44776946063153,-5.76802740480517,-5.37413789085982,-4.42242080204689,-4.13681280245107,-3.65941391737922
"Raw shrimp consumption",5.4,"Less likely treatable",-4.87449933151729,-6.45162901121764,-5.77188695372685,-5.37799743668543,-4.42628030480967,-4.14067223951089,-3.6632731972593
"Raw shrimp consumption",5.5,"Less likely treatable",-4.87828915213461,-6.45541885051576,-5.77567679150661,-5.38178727167932,-4.43007010074156,-4.1444619717402,-3.66706279286379
"Raw shrimp consumption",5.6,"Less likely treatable",-4.88191593832444,-6.45904565387117,-5.77930359361024,-5.38541407129387,-4.4336968652215,-4.14808867594831,-3.67068937859392
"Raw shrimp consumption",5.7,"Less likely treatable",-4.88547218744685,-6.46260191942367,-5.78285985784199,-5.38897033325331,-4.43725309475072,-4.15164484701372,-3.67424544446819
"Raw shrimp consumption",5.8,"Less likely treatable",-4.88878255765089,-6.46591230420949,-5.78617024162717,-5.3922807150978,-4.44056344831272,-4.15495514672793,-3.67755565656042
"Raw shrimp consumption",5.9,"Less likely treatable",-4.89193674366272,-6.46906650363602,-5.78932444015699,-5.39543491191827,-4.44371762017165,-4.15810926781382,-3.68070970510981
"Raw shrimp consumption",6,"Less likely treatable",-4.89441532491731,-6.47154509446175,-5.79180303045133,-5.39791350114312,-4.44619619374166,-4.16058780208174,-3.68318820487654
"Raw shrimp consumption",6.1,"Less likely treatable",-4.8980252695991,-6.47515505417806,-5.79541298910699,-5.40152345793255,-4.44980612306523,-4.16419767414123,-3.68679799914972
"Raw shrimp consumption",6.2,"Less likely treatable",-4.90082278775187,-6.47795258311644,-5.79821051734903,-5.40432098499066,-4.45260363228084,-4.16699513958716,-3.68959542359962
"Raw shrimp consumption",6.3,"Less likely treatable",-4.90352496189005,-6.48065476711372,-5.80091270087807,-5.40702316752239,-4.45530579910378,-4.16969726452713,-3.69229751753887
"Raw shrimp consumption",6.4,"Less likely treatable",-4.90620950162813,-6.48333931639715,-5.80359724966166,-5.40970771539402,-4.45799033265802,-4.17238175683369,-3.69498198600411
"Raw shrimp consumption",6.5,"Less likely treatable",-4.90872646487604,-6.48585628811077,-5.8061142210716,-5.41222468607582,-4.46050729110502,-4.17489867693447,-3.69749889019544
"Raw shrimp consumption",6.6,"Less likely treatable",-4.91106189017812,-6.48819172138491,-5.80844965381812,-5.41456011814557,-4.46284271271895,-4.17723406323784,-3.69983426670561
"Raw shrimp consumption",6.7,"Less likely treatable",-4.91339212462415,-6.49052196307878,-5.81077989539252,-5.41689035919884,-4.46517294442178,-4.17956425998827,-3.7021644596931
"Raw shrimp consumption",6.8,"Less likely treatable",-4.91562597467837,-6.49275582002259,-5.81301375203241,-5.41912421541118,-4.46740679263365,-4.18179807494653,-3.70439827621009
"Raw shrimp consumption",6.9,"Less likely treatable",-4.91772688747459,-6.49485673908908,-5.81511467086489,-5.42122513391446,-4.46950770434554,-4.1838989556016,-3.70649916240576
"Raw shrimp consumption",7,"Less likely treatable",-4.91974326454167,-6.49687312186149,-5.81713105355021,-5.4232415162979,-4.47152408114317,-4.18591530280927,-3.70851552005651
"Raw shrimp consumption",7.1,"Less likely treatable",-4.92171120793511,-6.49884107060639,-5.81909900225604,-5.42520946480694,-4.47349202481362,-4.18788321778914,-3.71048344866179
"Raw shrimp consumption",7.2,"Less likely treatable",-4.92358032053727,-6.50071018825077,-5.8209681197756,-5.42707858215551,-4.47536113810557,-4.18975230399173,-3.71235255061377
"Raw shrimp consumption",7.3,"Less likely treatable",-4.92537049019714,-6.5025003625955,-5.82275829397152,-5.42886875625521,-4.47715130909786,-4.19154244921764,-3.71414271525454
"Raw shrimp consumption",7.4,"Less likely treatable",-4.92712121778043,-6.50425109445251,-5.82450902586689,-5.43061948812021,-4.47890203847484,-4.19329315354122,-3.71589344168475
"Raw shrimp consumption",7.5,"Less likely treatable",-4.92878142743606,-6.50591130795567,-5.82616923953041,-5.43227970173793,-4.4805622501991,-4.19495334164336,-3.717553653156
"Raw shrimp consumption",7.6,"Less likely treatable",-4.93034239260027,-6.50747227684148,-5.82773020829328,-5.43384067057984,-4.48212321769922,-4.19651428705465,-3.71911462311566
"Raw shrimp consumption",7.7,"Less likely treatable",-4.93187660552462,-6.50900649325518,-5.8292644246764,-5.43537488702857,-4.48365743338135,-4.19804848114944,-3.72064884428151
"Raw shrimp consumption",7.8,"Less likely treatable",-4.93331559326293,-6.510445483961,-5.8307034155921,-5.43681387803287,-4.48509642397566,-4.19948745159327,-3.72208784185727
"Raw shrimp consumption",7.9,"Less likely treatable",-4.93475348048589,-6.51188337417888,-5.83214130586811,-5.43825176844786,-4.48653431439709,-4.20092532198047,-3.7235257416025
"Raw shrimp consumption",8,"Less likely treatable",-4.93605076770929,-6.51318066415475,-5.83343859578419,-5.43954905850271,-4.48783160482814,-4.20222259442809,-3.72482304261863
"Raw shrimp consumption",8.1,"Less likely treatable",-4.93734027767477,-6.51447017652231,-5.83472810835426,-5.44083857123073,-4.48912111819435,-4.20351208998894,-3.72611256794174
"Raw shrimp consumption",8.2,"Less likely treatable",-4.93861416674388,-6.51574406802182,-5.83600199989887,-5.44211246299061,-4.49039501098452,-4.20478596528182,-3.72738647496588
