"Analysis","Scenario","Parameter","Spearman_coefficient","N","Parameter_label","Absolute_coefficient","Parameter_plot"
"Overall","Raw shrimp consumption","C_retail",0.996348483706745,100000,"Retail concentration",0.996348483706745,"Raw shrimp consumption___Retail concentration"
"Overall","Raw shrimp consumption","M",0.020351062325167,100000,"Shrimp consumption amount",0.020351062325167,"Raw shrimp consumption___Shrimp consumption amount"
"Overall","Raw shrimp consumption","F_pathogenic",0.00746794055164443,100000,"Pathogenic fraction",0.00746794055164443,"Raw shrimp consumption___Pathogenic fraction"
"Overall","Raw shrimp consumption","fr",0.00196798827189787,100000,"Resistant fraction",0.00196798827189787,"Raw shrimp consumption___Resistant fraction"
"Overall","Raw shrimp consumption","pMIC",-0.00206731459349139,100000,"Doxycycline concentration (%MIC)",0.00206731459349139,"Raw shrimp consumption___Doxycycline concentration (%MIC)"
"Overall","Raw shrimp consumption","Emax",0.00680765224590961,100000,"Maximum killing effect (Emax)",0.00680765224590961,"Raw shrimp consumption___Maximum killing effect (Emax)"
"Overall","Raw shrimp consumption","EC50",0.00599580946698279,100000,"Half-maximal concentration (EC50)",0.00599580946698279,"Raw shrimp consumption___Half-maximal concentration (EC50)"
"Overall","Undercooked shrimp consumption","C_retail",0.99586274788912,100000,"Retail concentration",0.99586274788912,"Undercooked shrimp consumption___Retail concentration"
"Overall","Undercooked shrimp consumption","M",0.016950689446807,100000,"Shrimp consumption amount",0.016950689446807,"Undercooked shrimp consumption___Shrimp consumption amount"
"Overall","Undercooked shrimp consumption","F_pathogenic",0.00598002863088594,100000,"Pathogenic fraction",0.00598002863088594,"Undercooked shrimp consumption___Pathogenic fraction"
"Overall","Undercooked shrimp consumption","R_under",-0.0158567176379813,100000,"Cooking log reduction",0.0158567176379813,"Undercooked shrimp consumption___Cooking log reduction"
"Overall","Undercooked shrimp consumption","fr",0.000626636079539771,100000,"Resistant fraction",0.000626636079539771,"Undercooked shrimp consumption___Resistant fraction"
"Overall","Undercooked shrimp consumption","pMIC",-0.00107531766534481,100000,"Doxycycline concentration (%MIC)",0.00107531766534481,"Undercooked shrimp consumption___Doxycycline concentration (%MIC)"
"Overall","Undercooked shrimp consumption","Emax",0.0067292813952619,100000,"Maximum killing effect (Emax)",0.0067292813952619,"Undercooked shrimp consumption___Maximum killing effect (Emax)"
"Overall","Undercooked shrimp consumption","EC50",0.00591661433131459,100000,"Half-maximal concentration (EC50)",0.00591661433131459,"Undercooked shrimp consumption___Half-maximal concentration (EC50)"
"Overall","Hand-mediated cross-contamination","C_retail",0.995731427220905,100000,"Retail concentration",0.995731427220905,"Hand-mediated cross-contamination___Retail concentration"
"Overall","Hand-mediated cross-contamination","M_h",0.0152807682629548,100000,"Raw shrimp mass handled",0.0152807682629548,"Hand-mediated cross-contamination___Raw shrimp mass handled"
"Overall","Hand-mediated cross-contamination","F_pathogenic",0.00554142016537746,100000,"Pathogenic fraction",0.00554142016537746,"Hand-mediated cross-contamination___Pathogenic fraction"
"Overall","Hand-mediated cross-contamination","T_shrimp_hand",0.0117094409320931,100000,"Shrimp-to-hand transfer",0.0117094409320931,"Hand-mediated cross-contamination___Shrimp-to-hand transfer"
"Overall","Hand-mediated cross-contamination","T_hand_food",0.0139394527956168,100000,"Hand-to-food transfer",0.0139394527956168,"Hand-mediated cross-contamination___Hand-to-food transfer"
"Overall","Hand-mediated cross-contamination","fr",0.000282725141330552,100000,"Resistant fraction",0.000282725141330552,"Hand-mediated cross-contamination___Resistant fraction"
"Overall","Hand-mediated cross-contamination","pMIC",-0.000783366086527226,100000,"Doxycycline concentration (%MIC)",0.000783366086527226,"Hand-mediated cross-contamination___Doxycycline concentration (%MIC)"
"Overall","Hand-mediated cross-contamination","Emax",0.00677558451315946,100000,"Maximum killing effect (Emax)",0.00677558451315946,"Hand-mediated cross-contamination___Maximum killing effect (Emax)"
"Overall","Hand-mediated cross-contamination","EC50",0.00576790001816443,100000,"Half-maximal concentration (EC50)",0.00576790001816443,"Hand-mediated cross-contamination___Half-maximal concentration (EC50)"
"Contaminated exposure events","Raw shrimp consumption","C_retail",0.414294965891744,12810,"Retail concentration",0.414294965891744,"Raw shrimp consumption___Retail concentration"
"Contaminated exposure events","Raw shrimp consumption","M",0.732861243774659,12810,"Shrimp consumption amount",0.732861243774659,"Raw shrimp consumption___Shrimp consumption amount"
"Contaminated exposure events","Raw shrimp consumption","F_pathogenic",0.299187389267017,12810,"Pathogenic fraction",0.299187389267017,"Raw shrimp consumption___Pathogenic fraction"
"Contaminated exposure events","Raw shrimp consumption","fr",0.255152742253351,12810,"Resistant fraction",0.255152742253351,"Raw shrimp consumption___Resistant fraction"
"Contaminated exposure events","Raw shrimp consumption","pMIC",-0.226459455060201,12810,"Doxycycline concentration (%MIC)",0.226459455060201,"Raw shrimp consumption___Doxycycline concentration (%MIC)"
"Contaminated exposure events","Raw shrimp consumption","Emax",0.0484757875006742,12810,"Maximum killing effect (Emax)",0.0484757875006742,"Raw shrimp consumption___Maximum killing effect (Emax)"
"Contaminated exposure events","Raw shrimp consumption","EC50",0.0681460046247203,12810,"Half-maximal concentration (EC50)",0.0681460046247203,"Raw shrimp consumption___Half-maximal concentration (EC50)"
"Contaminated exposure events","Undercooked shrimp consumption","C_retail",0.336382698553651,12810,"Retail concentration",0.336382698553651,"Undercooked shrimp consumption___Retail concentration"
